Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
2024-01-15,Buy,AAPL,APPLE INC,10,150.00,0.00,-1500.00
2024-02-20,Buy,MSFT,MICROSOFT CORP,5,380.00,0.00,-1900.00
2024-03-10,Buy,GOOGL,ALPHABET INC CL A,3,140.00,0.00,-420.00
2024-04-05,Buy,NVDA,NVIDIA CORP,4,900.00,0.00,-3600.00
2024-05-12,Sell,AAPL,APPLE INC,5,180.00,0.00,900.00
2024-06-15,Buy,SPY,SPDR S&P 500 ETF,10,450.00,0.00,-4500.00
2024-07-20,Buy,QQQ,INVESCO QQQ TRUST,8,480.00,0.00,-3840.00
2024-08-10,Buy,TSLA,TESLA INC,2,250.00,0.00,-500.00
2024-09-05,Buy,AMZN,AMAZON.COM INC,5,185.00,0.00,-925.00
2024-10-15,Buy,VTI,VANGUARD TOTAL STOCK MKT ETF,15,240.00,0.00,-3600.00
